tO,tOW,trigger,tK,tKW,KLKneeX,KLKneeY,KLKneeZ,KLAnkleX,KLAnkleY,KLAnkleZ,KLFootX,KLFootY,KLFootZ,KRKneeX,KRKneeY,KRKneeZ,KRAnkleX,KRAnkleY,KRAnkleZ,KRFootX,KRFootY,KRFootZ,tDiffR,WLKneeX,WLKneeY,WLKneeZ,WLAnkleX,WLAnkleY,WLAnkleZ,WLFootX,WLFootY,WLFootZ,WRKneeX,WRKneeY,WRKneeZ,WRAnkleX,WRAnkleY,WRAnkleZ,WRFootX,WRFootY,WRFootZ,
8512310,149287562,0,12300,149287953,-0.0782128,-0.403633,1.35315,-0.0619619,-0.703854,1.35697,-0.0634746,-0.734213,1.21217,0.100308,-0.414548,1.3442,0.0929713,-0.70515,1.37192,0.087525,-0.735655,1.22709,31,-1.50314,0.078311,0.296367,-1.50696,0.0620604,-0.00385404,-1.36216,0.0635636,-0.0342125,-1.49421,-0.10021,0.285452,-1.52193,-0.0928719,-0.00514978,-1.3771,-0.087435,-0.035655,
8512310,149287562,0,12332,149287984,-0.0781908,-0.403436,1.35285,-0.061737,-0.703699,1.35671,-0.0630568,-0.73406,1.21191,0.100174,-0.414599,1.34417,0.092837,-0.699645,1.37188,0.0875885,-0.730263,1.22698,63,-1.50285,0.078289,0.296564,-1.50671,0.0618355,-0.00369918,-1.3619,0.0631457,-0.0340603,-1.49418,-0.100076,0.285401,-1.52188,-0.0927376,0.000354946,-1.37699,-0.0874985,-0.0302625,
8512310,149287562,0,12365,149288015,-0.0777448,-0.40301,1.35215,-0.0614451,-0.703944,1.35716,-0.0626201,-0.734307,1.21235,0.100145,-0.414564,1.34415,0.0928779,-0.696453,1.3721,0.0877792,-0.727139,1.22717,1,-1.50215,0.0778429,0.29699,-1.50715,0.0615436,-0.00394398,-1.36234,0.0627091,-0.0343074,-1.49416,-0.100048,0.285436,-1.52211,-0.0927785,0.00354749,-1.37717,-0.0876892,-0.0271392,
8512310,149287562,0,12400,149288046,-0.0777582,-0.402929,1.35213,-0.0616715,-0.703705,1.35706,-0.0626772,-0.734078,1.21225,0.100149,-0.414554,1.3441,0.0927321,-0.696874,1.37225,0.0878009,-0.727559,1.22732,33,-1.50212,0.0778564,0.297071,-1.50706,0.06177,-0.00370532,-1.36224,0.0627662,-0.0340783,-1.49411,-0.100052,0.285446,-1.52225,-0.0926326,0.00312603,-1.37732,-0.0877109,-0.0275593,
8512310,149287562,0,12433,149288093,-0.0775273,-0.402866,1.35202,-0.061976,-0.703087,1.35682,-0.0625956,-0.733474,1.21199,0.100169,-0.414496,1.34397,0.0926586,-0.697365,1.37228,0.0881073,-0.728045,1.22736,81,-1.50202,0.0776254,0.297134,-1.50681,0.0620744,-0.00308669,-1.36199,0.0626846,-0.0334742,-1.49398,-0.100072,0.285504,-1.52229,-0.0925591,0.00263488,-1.37736,-0.0880173,-0.0280454,
8512310,149287562,0,12466,149288125,-0.0779939,-0.404675,1.35364,-0.0613274,-0.70427,1.35792,-0.061545,-0.734669,1.21313,0.100167,-0.414647,1.344,0.0924697,-0.698222,1.37246,0.0883441,-0.728911,1.22756,113,-1.50363,0.0780921,0.295325,-1.50792,0.0614259,-0.00426954,-1.36312,0.0616341,-0.0346694,-1.49401,-0.10007,0.285353,-1.52246,-0.0923702,0.00177807,-1.37756,-0.0882541,-0.0289114,
8512310,149287562,0,12500,149288156,-0.0781565,-0.40452,1.35377,-0.0611126,-0.703998,1.35801,-0.0612388,-0.734398,1.2132,0.0997691,-0.411595,1.34319,0.0925853,-0.698407,1.37233,0.0885537,-0.729086,1.22743,20,-1.50377,0.0782547,0.29548,-1.508,0.0612112,-0.00399762,-1.3632,0.0613278,-0.0343981,-1.4932,-0.0996715,0.288405,-1.52234,-0.0924858,0.00159305,-1.37744,-0.0884637,-0.029086,
8512310,149287562,0,12532,149288187,-0.0780611,-0.404148,1.35384,-0.0604555,-0.704128,1.35866,-0.0603625,-0.734535,1.21386,0.0996195,-0.411318,1.34307,0.0925868,-0.69847,1.37226,0.0887915,-0.72915,1.22737,52,-1.50383,0.0781594,0.295852,-1.50865,0.0605541,-0.00412774,-1.36386,0.0604516,-0.0345346,-1.49308,-0.0995219,0.288682,-1.52227,-0.0924873,0.00152975,-1.37738,-0.0887015,-0.0291497,
8512310,149287562,0,12565,149288203,-0.0780814,-0.404011,1.35383,-0.0603557,-0.703842,1.35876,-0.0599318,-0.734256,1.21396,0.0997591,-0.410526,1.34263,0.0925516,-0.698681,1.37243,0.089091,-0.729359,1.22754,5,-1.50382,0.0781796,0.295989,-1.50875,0.0604543,-0.00384176,-1.36395,0.060021,-0.0342562,-1.49263,-0.0996616,0.289474,-1.52244,-0.0924521,0.00131893,-1.37755,-0.089001,-0.0293589,
8512310,149287562,0,12599,149288234,-0.078081,-0.404035,1.35384,-0.0603645,-0.703775,1.35876,-0.0573372,-0.733954,1.21386,0.099721,-0.409312,1.34217,0.0926313,-0.69886,1.37231,0.0917719,-0.729296,1.22733,37,-1.50384,0.0781793,0.295965,-1.50876,0.0604631,-0.00377488,-1.36386,0.0574263,-0.0339535,-1.49218,-0.0996236,0.290688,-1.52232,-0.0925319,0.00113976,-1.37733,-0.0916819,-0.029296,
8512310,149287562,0,12632,149288265,-0.0780107,-0.403736,1.35355,-0.0601951,-0.703629,1.35901,-0.057061,-0.733826,1.21412,0.0995332,-0.40746,1.34152,0.0927151,-0.698911,1.37223,0.0919647,-0.729358,1.22725,69,-1.50354,0.0781089,0.296264,-1.50901,0.0602937,-0.00362861,-1.36411,0.0571502,-0.0338258,-1.49152,-0.0994358,0.29254,-1.52224,-0.0926156,0.00108951,-1.37726,-0.0918747,-0.0293576,
8512310,149287562,0,12666,149288296,-0.0773341,-0.402777,1.35229,-0.0603664,-0.703673,1.35849,0.0205352,-0.785987,1.37657,0.0993302,-0.406436,1.34127,0.0924682,-0.699425,1.37262,0.0919385,-0.729882,1.22765,85,-1.50228,0.0774322,0.297223,-1.50848,0.0604649,-0.0036729,-1.52657,-0.0204354,-0.0859867,-1.49128,-0.0992328,0.293564,-1.52263,-0.0923687,0.000575006,-1.37766,-0.0918484,-0.0298818,
8512310,149287562,0,12700,149288328,-0.0756762,-0.399047,1.34852,-0.0599545,-0.702147,1.3572,-0.0548277,-0.732398,1.21236,0.0991431,-0.405809,1.34098,0.0924326,-0.699595,1.37228,0.0936864,-0.730072,1.22737,8,-1.49852,0.0757741,0.300953,-1.5072,0.060053,-0.00214696,-1.36236,0.0549167,-0.0323983,-1.49099,-0.0990457,0.294191,-1.52229,-0.0923331,0.000405312,-1.37738,-0.0935964,-0.0300716,
